Id,Type,Road,Introduction,Session,Direction,Limit,Latitude, Longitude
56,測速,水源快速道路,同安街口,中正二,南向北,60,25.0209377,121.5202211
57,闖紅燈,和平西路2段,寧波西街口,中正二,東向西,50,25.0288795,121.5124955
58,闖紅燈,重慶南路3段,和平西路口,中正二,北向南,50,25.0278281,121.5158905
59,闖紅燈,和平西路,寧波西街口,中正二,西向東,50,25.0285506,121.5157126
60,測速(兼闖紅燈),仰德大道3段,陽明山國小前,士林,往下山方向,40,25.1199012,121.553009
61,測速,金湖路,200號前,內湖,南向北,50,25.0778212,121.6002253
62,測速,文德路,66巷口,內湖,西向東,50,25.0784224,121.580987
63,測速,環東大道,(南京東路6段368巷口上方),內湖,東向西,80,25.0596955,121.5865218
64,測速,潭美街,新明路498巷,內湖,西向東,40,25.0534605,121.5785254
65,測速,行善路233號,,內湖,西向東,50,25.0610468,121.5833235
66,測速,成功路2段,373號,內湖,北向南,50,25.0745913,121.5900557
67,測速,內湖路1段,324號,內湖,西向東,50,25.0818401,121.5701458
68,測速,成功路5段,152巷口,內湖,西向東,50,25.0831664,121.604016
69,闖紅燈,瑞光路,199號前(陽光街口),內湖,南向北,50,25.0735776,121.5793532
70,闖紅燈,成功路2段,250巷口,內湖,往內湖方向,50,25.0658652,121.5904595
72,闖紅燈,內湖路1段,120巷（西向東）,內湖,西向東,50,25.0833178,121.563242
73,闖紅燈,南京東路6段,新明路426巷口,內湖,西向東,40,25.0556134,121.5789893
74,闖紅燈,民權東路6段,136巷（東向西）,內湖,西向東,50,25.0690306,121.5881984
75,測速,民權東路6段,423巷口,內湖,東向西,50,25.0712794,121.6041796
76,測速,信義快速道路,文山隧道往南出口處,文山一,北向南,70,25.0088759,121.5812678
78,測速,辛亥路6段,懷恩隧道出口處（往木柵）,文山一,北向南,50,24.9916232,121.5514372
79,闖紅燈,辛亥路7段,光輝路50巷口,文山一,北向南,50,24.9851193,121.5540656
80,闖紅燈,木柵路1段,和興街,文山一,西向東,50,24.9866839,121.5456809
81,闖紅燈,木柵路5段,萬福橋頭,文山一,東向西,50,25.0029928,121.5844957
83,測速,羅斯福路6段,226號前,文山二,北向南,50,24.9926568,121.5406757
84,測速,辛亥路4段,辛亥隧道出口,文山二,北向南,50,25.0097513,121.5573189
85,測速,羅斯福路5段,240號前(近興隆路口),文山二,北向南,50,25.0014243,121.5392205
86,闖紅燈,羅斯福路6段,469巷前(近育英街口),文山二,南向北,50,24.9896994,121.5396557
88,測速,承德路6段,,北投,北向南,60,25.1052819,121.5118135
90,測速,承德路6段,,北投,南向北,60,25.1038212,121.5119716
92,測速,大業路,412號前,北投,南向北,60,25.1303837,121.4967791
95,測速,學園路(往關渡),臺北藝術大學大門口,北投,下山方向,40,25.1301926,121.4659777
96,測速,立賢路101號前,,北投,南向北,50,25.1143262,121.5025286
97,闖紅燈,承德路7段,吉利街口,北投,北向南,60,25.1176921,121.5037101
98,闖紅燈,文林北路,明德路口,北投,北向南,50,25.1063822,121.5162615
100,測速,民生東路4段,97巷口,松山,西向東,50,25.0580039,121.5517519
101,測速,復興北路,車行地下道南出口處,松山,北向南,40,25.0668866,121.5442648
102,測速,健康路,300號,松山,東西雙向,50,25.0541773,121.5656167
103,測速,塔悠路,近撫遠街261巷口,松山,北向南,50,25.0620167,121.568457
104,測速,民權東路4段,民權公園前,松山,東西雙向,50,25.0620631,121.5574622
105,闖紅燈,敦化南路,八德路口,松山,南向北,50,25.0478691,121.5489217
106,闖紅燈,民權東路4段,三民街,松山,東向西,50,25.0629346,121.5634403
108,測速,市民大道5段,50號前(近東寧路口),信義,西向東,50,25.0475516,121.5640201
110,測速,忠孝東路4段 ,近逸仙路口,信義,東西雙向,50,25.0413032,121.5599589
111,闖紅燈,永吉路,松信路口,信義,東向西,50,25.0456457,121.5724814
112,闖紅燈,松仁路,松壽路口,信義,北向南,50,25.0361998,121.5683634
113,闖紅燈,基隆路,與松壽路口,信義,北向南,50,25.0361756,121.5614427
114,闖紅燈,光復南路,456巷,信義,北向南,50,25.0357923,121.5576089
115,測速,市民大道8段,東南街口,南港,東向西,50,25.0539484,121.612236
116,測速,忠孝東路7段,511號前,南港,西向東,50,25.05261,121.6116038
117,測速,市民大道7段,近昆陽街口,南港,東向西,50,25.0509796,121.5919185
118,測速,三重路,19-5號前,南港,北向南,50,25.0573686,121.6140519
119,測速,市民大道7段,東新街  往東約100公尺處(忠孝東路6段159巷口)　,南港,西向東,50,25.0488249,121.5869253
120,測速,市民大道8段,500號,南港,西向東,50,25.0539484,121.612236
121,測速(兼闖紅燈),忠孝東路6段,159巷,南港,東向西,50,25.0488013,121.5868302
122,闖紅燈,忠孝東路7段,527巷口,南港,東向西,50,25.0528595,121.6128614
123,測速,水源路,205號前,萬華,東向西,60,25.0192571,121.5029445
124,測速,艋舺大道,297號台糖公司前,萬華,東向西,50,25.0330893,121.4967617
127,測速,和平西路3段,199號前,萬華,西向東,50,25.0353927,121.4971672
128,測速,環河南路1段,77號對面,萬華,北向南,50,25.0658605,121.5087958
129,測速,華中橋頭(往北、往南),萬大路,萬華,南北雙向,50,25.0191993,121.4970856
130,測速,中華路1段,往南(萬華406號廣場前）,萬華,北向南,50,25.0400289,121.5074719
131,闖紅燈,艋舺大道,120巷口,萬華,東向西,50,25.0333657,121.5024434
132,闖紅燈,西園路2段,光復橋頭,萬華,南向北,50,25.0257746,121.4924289
133,闖紅燈,艋舺大道,雙園街,萬華,西向東,50,25.0303091,121.4932731
134,測速,承德路4段,福港街,士林,北向南,50,25.090004,121.5181892
135,闖紅燈,西園路2段,140巷,萬華,南向北,50,25.0298574,121.4962542
136,闖紅燈及路口淨空,南京東路3段,復興北路口,松山,南向北,25.0513759,121.5441694
137,闖紅燈及路口淨空,中山北路4段,通河街口,士林,南向北,25.0795183,121.5245424
138,闖紅燈及路口淨空,民生西路,承德路2段口,大同,南向北,25.0569492,121.5182764
139,闖紅燈及路口淨空,光復南路,信義路4段口北側,大安,西向東,25.0332018,121.5569733
140,測速,環河北路2段,昌吉街口,大同,南北雙向,"50(往北)60(往南)"25.0658605,121.5087958
141,測速,南京東路4段,健康路口,松山,東西雙向,50,25.0517537,121.5529799
142,測速,中山南路,近濟南路1段口,中正一,北向南,50,25.0429986,121.5188687
143,進區間測速及跨越雙白線,自強隧道,,士林,北向南,50,25.0945002,121.5485165
143,出區間測速及跨越雙白線,自強隧道,,士林,北向南,50,25.0869158,121.5490403
144,進區間測速及跨越雙白線,自強隧道,,中山,南向北,50,25.0869858,121.5495917
144,出區間測速及跨越雙白線,自強隧道,,中山,南向北,50,25.0945991,121.5488619
145,違規停車,忠孝東路5段,市府轉運站前,信義,西向東,25.041207,121.5662657
146,進區間測速及跨越雙白線,辛亥隧道,,文山二,北向南,50,25.0131668,121.5539
146,出區間測速及跨越雙白線,辛亥隧道,,文山二,北向南,50,25.0098205,121.5572443
147,進區間測速及跨越雙白線,辛亥隧道,,大安,南向北,50,25.0099628,121.5574762
147,出區間測速及跨越雙白線,辛亥隧道,,大安,南向北,50,25.0134015,121.5540405
150,違規停車,市民大道,臺北車站北側門,中正一,西向東,25.0485643,121.517003
151,違規停車,吳興街220巷,臺北醫學院周邊,信義,南北雙向,25.0273693,121.5626668
152,違規停車,中山北路二段９２號,馬偕醫院周邊,中山,北向南,25.0588311,121.5227685
155,闖紅燈、不停讓行人、不依規定轉彎、不依標線指示行駛、占用機車停等區、紅燈越線臨停,鄭州路與西寧北路口,,大同,多向,25.0506144,121.5082168
156,違規停車,臺北轉運站前,市民大道1段,大同,東西雙向,25.0486728,121.5178039
157,違規停車,南港車站前,市民大道8段,南港,東西雙向,25.0532126,121.6068009
158,違規停車,內湖路1段,739號前,內湖,東西雙向,25.0788884,121.5783887
159,違規停車,羅斯福路4段,68號至108巷前,中正二,南北雙向,25.0145998,121.5343221
161,闖紅燈、不停讓行人、不依規定轉彎、不依標線指示行駛、違規停車、違規迴轉,市民大道與承德路口,,中正一、大同,多向,25.0488391,121.516484
162,闖紅燈、不依規定轉彎、不依標線指示行駛,民權西路與承德路口,,大同,多向,25.0628225,121.5183857
163,闖紅燈、不停讓行人、不依規定轉彎、不依號誌指示轉彎、汽車行駛機車道(上匝)、違規左轉,民權西路與延平北路口,,大同,多向,25.0629015,121.5111933
164,闖紅燈、不依規定轉彎,民權西路與蘭州街口 ,,大同,多向,25.0631582,121.5148511
165,闖紅燈、不依規定轉彎、不依標線指示行駛、違規停車、不依號誌指示轉彎,大直街與北安路口,,中山,多向,25.0799569,121.5471073
166,闖紅燈、不停讓行人、不依規定轉彎、不依標線指示行駛、違規停車,民權東路與建國北路口,,中山,多向,25.0624707,121.5369941
167,闖紅燈、不停讓行人、不依規定轉彎、不依標線指示行駛、違規左轉,市民大道二段與中山北路口,,中山、中正一,多向,25.04806,121.5207934
168,闖紅燈、不依規定轉彎、不依標線指示行駛、不依標誌指示行駛,市民大道與建國南路口,,中山、大安,多向,25.0448035,121.5367159
169,闖紅燈、不依規定轉彎、不依標線指示行駛,市民大道二段與林森北路口 ,,中山、中正一,多向,25.0477823,121.5241601
170,不停讓行人、不依規定轉彎、不依標線指示行駛,和平東路與基隆路口,,大安、信義,多向,25.0243524,121.5524643
171,闖紅燈、不停讓行人、不依規定轉彎、不依標誌指示行駛、違規左轉,信義路與建國南路口,,大安,多向,25.0334927,121.5377944
172,闖紅燈、不停讓行人、不依規定轉彎、不依標線指示行駛、占用機車停等區、機車行駛人行道,辛亥路三段與基隆路三段口,,大安,多向,25.0191982,121.5466997
173,闖紅燈、不停讓行人、不依規定轉彎,市民大道與敦化南路口 ,,大安、松山,多向,25.0448067,121.5488859
174,闖紅燈、不停讓行人、不依規定轉彎、不依標線指示行駛、不依號誌指示轉彎,忠孝東路與基隆路口,,信義,多向,25.0412136,121.5645009
175,闖紅燈、不停讓行人、不依規定轉彎、不依標線指示行駛,信義路與基隆路口,,信義,多向,25.0331633,121.5596295
176,闖紅燈、不停讓行人、不依規定轉彎,中正路與延平北路口,,士林,多向,25.0867148,121.5093384
177,闖紅燈、不依規定轉彎、不依標線指示行駛、不依號誌指示轉彎、紅燈越線臨停,大度路三段與立德路口 ,,北投,多向,25.1229493,121.4713919
178,闖紅燈、不依規定轉彎、不依標線指示行駛、不依號誌指示轉彎、紅燈越線臨停,承德路與福國路口,,北投,多向,25.1015617,121.5123754
179,闖紅燈、不停讓行人、不依規定轉彎、不依標線指示行駛、不依號誌指示轉彎、違規左轉、違規迴轉,和平西路與西園路口,,萬華,多向,25.0352808,121.4993324
180,闖紅燈、不停讓行人、不依規定轉彎、不依標線指示行駛、占用機車停等區、紅燈越線臨停,辛亥路與木柵路一段口 ,,文山一,多向,24.9878083,121.5523997
